,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
181,74,0.020091600017622113,2.0,84.0,75,1024,0
182,75,0.020215299970004708,2.0,85.0,75,1024,0
183,76,0.020334400003775954,2.0,86.0,75,1024,0
184,77,0.020454599987715483,2.0,87.0,75,1024,0
185,78,0.020573000016156584,2.0,88.0,75,1024,0
186,79,0.020691599987912923,2.0,89.0,75,1024,0
187,80,0.020810000016354024,2.0,90.0,75,1024,0
188,81,0.021007100003771484,2.0,91.0,75,1024,0
189,82,0.02120469999499619,2.0,92.0,75,1024,0
190,83,0.021377699973527342,2.0,93.0,75,1024,0
191,84,0.021499099966604263,2.0,94.0,75,1024,0
192,85,0.021620100014843047,2.0,95.0,75,1024,0
193,86,0.02173979999497533,2.0,96.0,75,1024,0
194,87,0.021917000005487353,2.0,97.0,75,1024,0
195,88,0.02208029996836558,2.0,98.0,75,1024,0
196,89,0.022486999980174005,2.0,99.0,75,1024,0
197,90,0.02298569999402389,2.0,100.0,75,1024,0
198,91,0.023566899995785207,2.0,101.0,75,1024,0
199,92,0.023980800004210323,2.0,102.0,75,1024,0
200,93,0.024227700021583587,2.0,103.0,75,1024,0
201,94,0.024458799976855516,2.0,104.0,75,1024,0
202,95,0.024786699970718473,2.0,105.0,75,1024,0
203,96,0.025239499984309077,1.0,107.0,75,1024,0
204,97,0.02545229997485876,1.0,108.0,75,1024,0
205,98,0.025633800018113106,1.0,109.0,75,1024,0
206,99,0.025851399987004697,1.0,110.0,75,1024,0
207,100,0.026041499979328364,1.0,111.0,75,1024,0
208,101,0.026213300006929785,1.0,112.0,75,1024,0
209,102,0.0264152999734506,1.0,113.0,75,1024,0
210,103,0.026752499979920685,1.0,114.0,75,1024,0
211,104,0.027281699993181974,1.0,115.0,75,1024,0
212,105,0.027985099994111806,1.0,116.0,75,1024,0
213,106,0.028792699973564595,0.0,118.0,75,1024,0
214,0,0.0002204999909736216,18.0,0.0,100,1024,0
215,1,0.0017992000211961567,16.0,2.0,100,1024,0
216,2,0.003113800019491464,16.0,3.0,100,1024,0
217,3,0.004136400006245822,16.0,4.0,100,1024,0
218,4,0.004328000009991229,16.0,5.0,100,1024,0
219,5,0.0057835999759845436,16.0,6.0,100,1024,0
220,6,0.00594259996432811,16.0,7.0,100,1024,0
221,7,0.006088099966291338,16.0,8.0,100,1024,0
222,8,0.006385200016666204,16.0,9.0,100,1024,0
223,9,0.008302600006572902,16.0,10.0,100,1024,0
224,10,0.008492099994327873,14.0,12.0,100,1024,0
225,11,0.008596699975896627,14.0,13.0,100,1024,0
226,12,0.008697999990545213,14.0,14.0,100,1024,0
227,13,0.008799000002909452,14.0,15.0,100,1024,0
228,14,0.008899200009182096,14.0,16.0,100,1024,0
229,15,0.009000200021546334,14.0,17.0,100,1024,0
230,16,0.009175000013783574,13.0,19.0,100,1024,0
231,17,0.010275200009346008,13.0,20.0,100,1024,0
232,18,0.010462099977303296,12.0,22.0,100,1024,0
233,19,0.010567300021648407,12.0,23.0,100,1024,0
234,20,0.010671500000171363,12.0,24.0,100,1024,0
235,21,0.010773300018627197,12.0,25.0,100,1024,0
236,22,0.01087639998877421,12.0,26.0,100,1024,0
237,23,0.010978400008752942,12.0,27.0,100,1024,0
238,24,0.011083099991083145,12.0,28.0,100,1024,0
239,25,0.011187099968083203,12.0,29.0,100,1024,0
240,26,0.011293100018519908,12.0,30.0,100,1024,0
241,27,0.01139649999095127,12.0,31.0,100,1024,0
242,28,0.011500599968712777,12.0,32.0,100,1024,0
243,29,0.011604300001636147,12.0,33.0,100,1024,0
244,30,0.011708799982443452,12.0,34.0,100,1024,0
245,31,0.01181280001765117,12.0,35.0,100,1024,0
246,32,0.011918200005311519,12.0,36.0,100,1024,0
247,33,0.013100699987262487,11.0,38.0,100,1024,0
248,34,0.013291899987962097,8.0,40.0,100,1024,0
249,35,0.013401500007603317,8.0,41.0,100,1024,0
250,36,0.013582699990365654,6.0,43.0,100,1024,0
251,37,0.013690699997823685,6.0,44.0,100,1024,0
252,38,0.013797899999190122,6.0,45.0,100,1024,0
253,39,0.013906000007409602,6.0,46.0,100,1024,0
254,40,0.014108499977737665,5.0,48.0,100,1024,0
255,41,0.014221599965821952,5.0,49.0,100,1024,0
256,42,0.014330599980894476,5.0,50.0,100,1024,0
257,43,0.014438599988352507,5.0,51.0,100,1024,0
258,44,0.014548100007232279,5.0,52.0,100,1024,0
259,45,0.014657699968665838,5.0,53.0,100,1024,0
260,46,0.014766699983738363,5.0,54.0,100,1024,0
261,47,0.014876000001095235,5.0,55.0,100,1024,0
262,48,0.01499100000364706,5.0,56.0,100,1024,0
263,49,0.015104699996300042,5.0,57.0,100,1024,0
264,50,0.015215299965348095,5.0,58.0,100,1024,0
265,51,0.01532579999184236,5.0,59.0,100,1024,0
266,52,0.015436600020620972,5.0,60.0,100,1024,0
267,53,0.015549200004898012,5.0,61.0,100,1024,0
268,54,0.01566029997775331,5.0,62.0,100,1024,0
269,55,0.01577150000957772,5.0,63.0,100,1024,0
270,56,0.01588289998471737,5.0,64.0,100,1024,0
271,57,0.015994700021110475,5.0,65.0,100,1024,0
272,58,0.016108500014524907,5.0,66.0,100,1024,0
273,59,0.016221300000324845,5.0,67.0,100,1024,0
274,60,0.016333799983840436,5.0,68.0,100,1024,0
275,61,0.016446599969640374,5.0,69.0,100,1024,0
276,62,0.01655990001745522,5.0,70.0,100,1024,0
277,63,0.016747199988458306,3.0,72.0,100,1024,0
278,64,0.01686189998872578,3.0,73.0,100,1024,0
279,65,0.0189511000062339,3.0,74.0,100,1024,0
280,66,0.019080400001257658,3.0,75.0,100,1024,0
281,67,0.01920009998138994,3.0,76.0,100,1024,0
282,68,0.019316799996886402,3.0,77.0,100,1024,0
283,69,0.01943260000552982,3.0,78.0,100,1024,0
284,70,0.019548800017219037,3.0,79.0,100,1024,0
285,71,0.019664499966893345,3.0,80.0,100,1024,0
286,72,0.01978069997858256,3.0,81.0,100,1024,0
287,73,0.01989789999788627,3.0,82.0,100,1024,0
288,74,0.020091600017622113,2.0,84.0,100,1024,0
289,75,0.020215299970004708,2.0,85.0,100,1024,0
290,76,0.020334400003775954,2.0,86.0,100,1024,0
291,77,0.020454599987715483,2.0,87.0,100,1024,0
292,78,0.020573000016156584,2.0,88.0,100,1024,0
293,79,0.020691599987912923,2.0,89.0,100,1024,0
294,80,0.020810000016354024,2.0,90.0,100,1024,0
295,81,0.021007100003771484,2.0,91.0,100,1024,0
296,82,0.02120469999499619,2.0,92.0,100,1024,0
297,83,0.021377699973527342,2.0,93.0,100,1024,0
298,84,0.021499099966604263,2.0,94.0,100,1024,0
299,85,0.021620100014843047,2.0,95.0,100,1024,0
300,86,0.02173979999497533,2.0,96.0,100,1024,0
301,87,0.021917000005487353,2.0,97.0,100,1024,0
302,88,0.02208029996836558,2.0,98.0,100,1024,0
303,89,0.022486999980174005,2.0,99.0,100,1024,0
304,90,0.02298569999402389,2.0,100.0,100,1024,0
305,91,0.023566899995785207,2.0,101.0,100,1024,0
306,92,0.023980800004210323,2.0,102.0,100,1024,0
307,93,0.024227700021583587,2.0,103.0,100,1024,0
308,94,0.024458799976855516,2.0,104.0,100,1024,0
309,95,0.024786699970718473,2.0,105.0,100,1024,0
310,96,0.025239499984309077,1.0,107.0,100,1024,0
311,97,0.02545229997485876,1.0,108.0,100,1024,0
312,98,0.025633800018113106,1.0,109.0,100,1024,0
313,99,0.025851399987004697,1.0,110.0,100,1024,0
314,100,0.026041499979328364,1.0,111.0,100,1024,0
315,101,0.026213300006929785,1.0,112.0,100,1024,0
316,102,0.0264152999734506,1.0,113.0,100,1024,0
317,103,0.026752499979920685,1.0,114.0,100,1024,0
318,104,0.027281699993181974,1.0,115.0,100,1024,0
319,105,0.027985099994111806,1.0,116.0,100,1024,0
320,106,0.028792699973564595,0.0,118.0,100,1024,0
