,n_components,covariance_type,bic_score,std_bic_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time
28,30,full,12205.303432519098,223.05303103338784,0.10849862098693848,0.00869383401145605,0.0022019386291503907,0.0004002335634410571
30,32,full,12237.893762623637,123.74836007058147,0.12010955810546875,0.01038267912803838,0.0022016048431396486,0.00040004308448620383
31,33,full,12339.685607415562,245.34993217375487,0.12443737983703614,0.005942995686301956,0.0024021625518798827,0.0004905828651150382
32,34,full,12388.591035282683,256.66267248576423,0.1324491024017334,0.013000157162912654,0.0024023056030273438,0.000490271319189315
33,35,full,12421.016400566117,247.14711841437347,0.12551417350769042,0.00862408430797731,0.0022020339965820312,0.00040042418459757293
34,36,full,12463.620768533388,246.38193034759388,0.12731571197509767,0.008803707001997488,0.0022019386291503907,0.0003999948892390431
36,38,full,12490.886179212244,140.61275313498868,0.13612399101257325,0.00980679729229073,0.002401924133300781,0.0004903882126762863
35,37,full,12506.646393810324,249.8225110644009,0.12911748886108398,0.007020554086714331,0.002602243423461914,0.0004903880735780973
37,39,full,12586.183967667597,227.87918946953718,0.13912649154663087,0.007830101094901393,0.002802610397338867,0.00040042435494714413
38,40,full,12638.316722400688,250.77727293672118,0.1421295166015625,0.00798225139717004,0.0026025295257568358,0.0004899406873057201
39,41,full,12697.488582244117,270.0844984574674,0.14483299255371093,0.011259334106897383,0.0030024051666259766,2.611744678045111e-07
40,42,full,12721.540777260307,237.1535840347716,0.1381256103515625,0.0060388343365644455,0.0030026912689208986,2.3360154559928684e-07
42,44,full,12752.63094689356,155.09585257452514,0.15333938598632812,0.005000921995336485,0.0028026580810546877,0.0004006866470738208
41,43,full,12790.789460002383,283.61060202325325,0.14847197532653808,0.009223280613626277,0.0028025627136230467,0.0004004003179063092
43,45,full,12876.212320818051,275.6212050264261,0.15353975296020508,0.0060916053592715465,0.0030026912689208986,2.78041453115716e-07
45,47,full,12881.772101277189,145.4552881976266,0.15470900535583496,0.004401294878374137,0.003203010559082031,0.0004006147774842365
44,46,full,12914.830876499755,275.59885627794677,0.16563644409179687,0.023237603309567832,0.0032029151916503906,0.00040042401424792936
46,48,full,12971.488016842577,249.72491344986176,0.16354870796203613,0.008340549345500747,0.0030029773712158202,4.422005889652111e-07
47,49,full,13008.998963830865,213.74818161759387,0.17656102180480956,0.005008266888779051,0.0034026145935058595,0.000490057325597445
