,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
51,4,198.0,2008,0.23870869999518618,"[4.0, 4.0, 4.0, 3.0, 3.0, 4.0, 3.0, 4.0, 4.0, 0.0]",False,400,0.5,1024
52,8,207.0,3614,0.46444070000143256,"[4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0]",False,400,0.5,1024
53,16,207.0,6822,0.8785684999893419,"[4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0]",False,400,0.5,1024
54,32,207.0,13238,1.6617794999910984,"[4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0]",False,400,0.5,1024
55,64,207.0,26070,3.2456871999893337,"[4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0]",False,400,0.5,1024
56,128,207.0,51734,6.410118300002068,"[4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0]",False,400,0.5,1024
57,256,207.0,103062,12.73486419999972,"[4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0]",False,400,0.5,1024
58,512,207.0,204114,25.17749279999407,"[4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0]",False,400,0.5,1024
59,1024,207.0,204114,25.17749279999407,"[4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0]",False,400,0.5,1024
60,0,102.0,400,0.008762199999182485,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4]",False,400,0.75,1024
61,1,191.0,802,0.06631259999994654,"[4.0, 4.0, 1.0, 4.0, 4.0, 3.0, 4.0, 3.0, 4.0, 0.0]",False,400,0.75,1024
62,2,191.0,1203,0.12468330000410788,"[4.0, 4.0, 1.0, 4.0, 4.0, 3.0, 4.0, 3.0, 4.0, 0.0]",False,400,0.75,1024
63,4,192.0,2006,0.23818610000307672,"[3.0, 4.0, 4.0, 1.0, 3.0, 4.0, 4.0, 2.0, 4.0, 1.0]",False,400,0.75,1024
64,8,199.0,3611,0.45824829999764916,"[4.0, 4.0, 4.0, 3.0, 2.0, 4.0, 4.0, 4.0, 4.0, 0.0]",False,400,0.75,1024
65,16,202.0,6821,0.8975037000054726,"[4.0, 4.0, 3.0, 0.0, 4.0, 4.0, 4.0, 3.0, 4.0, 2.0]",False,400,0.75,1024
66,32,207.0,13239,1.7440408999973442,"[4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0]",False,400,0.75,1024
67,64,207.0,26071,3.385092900003656,"[4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0]",False,400,0.75,1024
68,128,207.0,51735,6.587452799998573,"[4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0]",False,400,0.75,1024
69,256,207.0,103063,12.84447710000677,"[4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0]",False,400,0.75,1024
70,512,207.0,205719,25.48807439999655,"[4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0]",False,400,0.75,1024
71,1024,207.0,210932,26.146680500009097,"[4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0]",False,400,0.75,1024
72,0,102.0,600,0.014254200010327622,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4]",False,600,0.25,1024
73,1,189.0,1202,0.07514719999744557,"[4.0, 4.0, 0.0, 4.0, 3.0, 4.0, 4.0, 1.0, 4.0, 3.0]",False,600,0.25,1024
74,2,198.0,1804,0.14112410000234377,"[4.0, 4.0, 4.0, 0.0, 4.0, 4.0, 4.0, 0.0, 4.0, 2.0]",False,600,0.25,1024
75,4,204.0,3008,0.26139770000008866,"[4.0, 4.0, 4.0, 0.0, 4.0, 4.0, 4.0, 2.0, 4.0, 2.0]",False,600,0.25,1024
76,8,207.0,5413,0.4846706000098493,"[4.0, 4.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0]",False,600,0.25,1024
77,16,207.0,10221,0.9128224000014598,"[4.0, 4.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0]",False,600,0.25,1024
78,32,207.0,19837,1.753190600007656,"[4.0, 4.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0]",False,600,0.25,1024
79,64,207.0,39069,3.429740000006859,"[4.0, 4.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0]",False,600,0.25,1024
80,128,207.0,77533,6.760672000003979,"[4.0, 4.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0]",False,600,0.25,1024
81,256,207.0,154461,13.618413700009114,"[4.0, 4.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0]",False,600,0.25,1024
82,512,207.0,305913,27.13039450001088,"[4.0, 4.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0]",False,600,0.25,1024
83,1024,207.0,305913,27.13039450001088,"[4.0, 4.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0]",False,600,0.25,1024
84,0,102.0,600,0.013813600002322346,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4]",False,600,0.5,1024
85,1,181.0,1202,0.07363109999278095,"[3.0, 4.0, 4.0, 1.0, 4.0, 3.0, 3.0, 0.0, 4.0, 2.0]",False,600,0.5,1024
86,2,193.0,1804,0.1399604000034742,"[4.0, 4.0, 4.0, 0.0, 3.0, 3.0, 4.0, 1.0, 4.0, 4.0]",False,600,0.5,1024
87,4,205.0,3007,0.26040220000140835,"[4.0, 4.0, 3.0, 3.0, 4.0, 4.0, 4.0, 3.0, 4.0, 0.0]",False,600,0.5,1024
88,8,205.0,5411,0.4989406999957282,"[4.0, 4.0, 3.0, 3.0, 4.0, 4.0, 4.0, 3.0, 4.0, 0.0]",False,600,0.5,1024
89,16,207.0,10220,0.9417184000049019,"[4.0, 4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 3.0, 4.0, 0.0]",False,600,0.5,1024
90,32,207.0,19836,1.7845104000007268,"[4.0, 4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 3.0, 4.0, 0.0]",False,600,0.5,1024
91,64,207.0,39068,3.4658699999999953,"[4.0, 4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 3.0, 4.0, 0.0]",False,600,0.5,1024
92,128,207.0,77532,6.833492199992179,"[4.0, 4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 3.0, 4.0, 0.0]",False,600,0.5,1024
93,256,207.0,154460,13.520500999991782,"[4.0, 4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 3.0, 4.0, 0.0]",False,600,0.5,1024
94,512,207.0,308316,26.963416600003256,"[4.0, 4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 3.0, 4.0, 0.0]",False,600,0.5,1024
95,1024,207.0,308917,27.02571829999215,"[4.0, 4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 3.0, 4.0, 0.0]",False,600,0.5,1024
96,0,102.0,600,0.01409820000117179,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4]",False,600,0.75,1024
97,1,193.0,1202,0.07786469999700785,"[4.0, 3.0, 3.0, 2.0, 4.0, 4.0, 4.0, 2.0, 4.0, 1.0]",False,600,0.75,1024
98,2,193.0,1803,0.14580529999511782,"[4.0, 3.0, 3.0, 2.0, 4.0, 4.0, 4.0, 2.0, 4.0, 1.0]",False,600,0.75,1024
99,4,193.0,3005,0.27422870000009425,"[4.0, 3.0, 3.0, 2.0, 4.0, 4.0, 4.0, 2.0, 4.0, 1.0]",False,600,0.75,1024
100,8,200.0,5412,0.5196234999893932,"[4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 1.0]",False,600,0.75,1024
101,16,207.0,10221,0.9898478999966756,"[4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0]",False,600,0.75,1024
102,32,207.0,19837,1.8843954999902053,"[4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0]",False,600,0.75,1024
103,64,207.0,39069,3.590970899997046,"[4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0]",False,600,0.75,1024
104,128,207.0,77533,6.974659599989536,"[4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0]",False,600,0.75,1024
105,256,207.0,154461,13.717498199999682,"[4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0]",False,600,0.75,1024
106,512,207.0,307716,27.085758699991857,"[4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0]",False,600,0.75,1024
107,1024,207.0,307716,27.085758699991857,"[4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0]",False,600,0.75,1024
