,num_clusters,mean_fit_time,std_fit_time,mean_s_score,std_s_score,mean_v_score,std_v_score,mean_ch_score,std_ch_score,mean_ar_score,std_ar_score
30,35,1.1895966799464077,0.016616309745117328,0.9992857142857143,0.0,0.010230442751780817,1.939479807224432e-18,2.1525081308371466e+30,314698590945098.5,-0.001183616461294404,0.0
31,36,1.2165678800083697,0.04047381421033101,0.9992857142857143,0.0,0.010230442751780816,2.742838647325548e-18,2.1525081308371466e+30,398065729532860.8,-0.001183616461294404,0.0
32,37,1.2377055400051176,0.04319779285985618,0.9992857142857143,0.0,0.010230442751780816,1.5023145987371592e-18,2.1525081308371466e+30,314698590945098.5,-0.001183616461294404,0.0
33,38,1.2659160200040787,0.05004152035489898,0.9992857142857143,0.0,0.010230442751780816,2.1245936804851847e-18,2.1525081308371466e+30,314698590945098.5,-0.001183616461294404,0.0
34,39,1.3064726600889116,0.036831845468288014,0.9992857142857143,0.0,0.010230442751780816,1.5023145987371592e-18,2.1525081308371466e+30,314698590945098.5,-0.001183616461294404,0.0
35,40,1.3551523200236262,0.05958062000021991,0.9992857142857143,0.0,0.010230442751780816,2.742838647325548e-18,2.1525081308371466e+30,314698590945098.5,-0.001183616461294404,0.0
36,41,1.3666182999964804,0.03614426958218601,0.9992857142857143,0.0,0.010230442751780817,8.673617379884035e-19,2.1525081308371466e+30,314698590945098.5,-0.001183616461294404,0.0
37,42,1.377206820063293,0.04117319669387155,0.9992857142857143,0.0,0.010230442751780817,2.2948234554500807e-18,2.1525081308371466e+30,314698590945098.5,-0.001183616461294404,0.0
38,43,1.3987102600280195,0.045573905578613065,0.9992857142857143,0.0,0.010230442751780817,1.5023145987371592e-18,2.1525081308371466e+30,314698590945098.5,-0.001183616461294404,0.0
39,44,1.4559840999543667,0.0368330156193761,0.9992857142857143,0.0,0.010230442751780817,1.2266347333466993e-18,2.1525081308371466e+30,314698590945098.5,-0.001183616461294404,0.0
40,45,1.451956019969657,0.023553184353453466,0.9992857142857143,0.0,0.010230442751780816,1.5023145987371592e-18,2.1525081308371466e+30,314698590945098.5,-0.001183616461294404,0.0
41,46,1.5077761000022292,0.03940852916658354,0.9992857142857143,0.0,0.010230442751780817,2.1245936804851847e-18,2.1525081308371466e+30,314698590945098.5,-0.001183616461294404,0.0
42,47,1.5331627200357616,0.07531643877536405,0.9992857142857143,0.0,0.010230442751780816,1.5023145987371592e-18,2.1525081308371466e+30,314698590945098.5,-0.001183616461294404,0.0
43,48,1.5982753599993884,0.04079851382148012,0.9992857142857143,0.0,0.010230442751780817,1.2266347333466993e-18,2.1525081308371466e+30,314698590945098.5,-0.001183616461294404,0.0
44,49,1.6042276399675757,0.10068576653583561,0.9992857142857143,0.0,0.010230442751780817,1.2266347333466993e-18,2.1525081308371466e+30,314698590945098.5,-0.001183616461294404,0.0
